Gene	c0.05	c0.11	c0.16	c0.22	c0.30	L0.05	L0.11	L0.16	L0.22	L0.30	n0.05	n0.11	n0.16	n0.22	n0.30	p0.05	p0.11	p0.16	p0.22	p0.30	u0.05	u0.11	u0.16	u0.22	u0.30
YNL274C	1.41010485518459	1.0736252541447	0.608945814455269	0.523161860838065	0.333386005915118	-0.587293786238335	-0.433317410075121	-0.386421476565662	0.00813660246646817	-0.242096494969774	1.14503907981919	0.532165280673925	0.368862566123287	-0.767055749000288	0.19071433908075	-0.910138601511969	-0.26604065712594	-0.324590144060746	-0.199321755709711	-1.20983443142661	0.14342022968194	0.716547707380517	-0.457700602588751	-0.193419707655038	0.161057601939434
YNL284C-B	-3.15843865362106	-2.94891458766593	-1.87728177163015	-1.44753679371477	-1.07036441167028	-1.09450974368731	-0.671318676117145	-0.0991694749088979	0.18924478185704	0.473827718409816	-3.85123698700571	-2.2543171073205	-0.815233985524693	0.553746393792262	0.360691615125888	-0.259682237604678	-0.081591906940921	-0.0454712663147562	-0.229289897539638	0.110039813286224	-0.688617635244816	0.0969300054953696	-0.44300699603865	0.321472923638378	0.0660137649408254
YNL287W	0.190936889585081	0.0834429692565714	0.237362016487514	0.20195553211449	0.278120244661511	-0.236912828793102	-0.128300275288059	-0.341606411920406	-0.0172904399107187	-4.66726825928914e-05	-0.147558213467233	0.264668727855515	0.210598374916197	0.0745047586122778	0.306129325097781	-0.207777855838411	0.276480978420386	0.265032395108533	0.53815374487074	0.767356242332317	-0.179279796393305	-0.124110765317541	0.0369348532873662	0.164978338560075	0.0624387816625383
YNL288W	-0.263960015050856	-0.396439667661025	-0.544892559251066	-0.340765239830668	-0.430283766395792	-0.141194074133204	-0.211904313151317	-0.326558605082185	-0.453160416956633	-0.415514683490779	0.503746356339543	0.460262995119936	-0.0464365585624407	-0.291646401035484	-0.371092358587207	-0.19122625659801	-0.299798463797277	-0.367447284739884	-0.386087453072982	-0.286572811801414	-0.185601024095474	-0.339937087424258	-0.353985581512302	-0.354702467555641	-0.509707703935928
YNL290W	0.154227075306596	0.147965761075167	0.121501493252448	0.0723240654668095	0.113112290105877	0.209534428845032	0.154089599077377	0.141527140781924	0.085365010303118	0.269111753294986	0.42683835380121	0.350770382473177	0.273682512433412	0.294111300612017	0.311861822364538	0.0290263026134289	0.107281993552155	0.176432579132492	0.198400913836068	0.158436589160965	0.165967329348809	0.210624316774639	0.366334928497819	0.213909155289156	0.277073400126335
YNL302C	2.35380609420459	1.60824591969124	1.91558961565665	2.24366091695063	2.30042037549138	2.34374630051628	1.74180757878223	3.27597235380967	2.03187856212305	2.15907252050725	1.8259666231991	2.32189915943648	1.84214824782854	2.6449720981194	2.59563928017432	2.12413414237096	1.64449866459581	3.26688586705513	1.4385326110837	3.14055948135513	0.460850584184092	1.14072636257711	2.64623253990829	1.78635847207181	2.46456460401343
YNL307C	0.299378412544442	0.123680158790629	0.0496649303369979	-0.0839630066537846	-0.0927241155331143	0.136091494101638	0.0720409290035663	-0.183799958683355	-0.0298012971475173	-0.191751291169886	0.534982461852294	0.564675943646673	0.559043180707812	0.0521612461751528	-0.0187704919976096	-0.00174075179994483	0.396215111903572	0.0845061147929603	-0.0274500340338408	-0.18413675286607	0.00389793554906322	-0.150655775813208	0.0753928074356609	-0.0594466746646487	0.234633001831691
YNR001C	1.19994533113831	0.919188812291911	1.22998813317534	1.17590574880515	0.750366585445679	-0.685473193558956	-1.081883552006	-1.10714050934438	-1.02581273633073	-0.787138542775405	-0.874928144391176	-0.908606703480881	-0.914044381610285	-0.821453827638904	-0.723654369470771	0.000617232820799779	-0.156879304675992	-0.347374743846512	-0.641827247291103	-0.975673810996505	0.796374626332993	0.612524113351025	-0.113219074701551	0.201838231198417	-0.120656090465349
YNR013C	-4.5830927688713	-2.47692969516879	-2.68519337153467	2.25555894577311	-1.80407972504994	-1.9626925426976	-1.3934005405135	-2.02521198817054	-1.71460487021983	-3.25458202443492	-3.50182999126368	-1.77579337098754	-1.5635495060242	-3.56541977295632	-1.72163794568599	-2.3877469087282	-2.02613137434633	-1.01129377674803	-2.20160022181613	-2.52774891084005	-1.90012515677778	-1.87320023163493	-1.70974982864221	-2.28828613990624	-1.7989296420457
YNR016C	1.02687354844848	0.962116577537392	0.601323624050166	0.58240091046336	0.414552242763236	0.325796035081243	0.0283820314234494	-0.321371746346271	-0.458486521690925	-0.426109273983354	0.72391809462131	0.913118329847526	0.892895868737073	0.109841863763075	-0.0796498113497748	-0.0355249049454415	0.142228315542613	-0.252390160782859	-0.254478845331353	-0.226588492362686	0.416249546553225	0.162436095753105	-0.970378031453212	-0.368810403532188	0.538678215442514
